"","yearMonth","count"
"1",2000-01-01,12
"2",2000-02-01,222
"3",2000-03-01,576
"4",2000-04-01,647
"5",2000-05-01,1098
"6",2000-06-01,2307
"7",2000-07-01,107
"8",2000-08-01,4743
"9",2000-09-01,3301
"10",2000-10-01,4255
"11",2000-11-01,5017
"12",2000-12-01,4819
"13",2001-01-01,220
"14",2001-02-01,3153
"15",2001-03-01,4823
"16",2001-04-01,4054
"17",2001-05-01,5868
"18",2001-06-01,5084
"19",2001-07-01,199
"20",2001-08-01,6271
"21",2001-09-01,3958
"22",2001-10-01,4816
"23",2001-11-01,5344
"24",2001-12-01,5366
"25",2002-01-01,218
"26",2002-02-01,3185
"27",2002-03-01,4793
"28",2002-04-01,4812
"29",2002-05-01,5962
"30",2002-06-01,6059
"31",2002-07-01,296
"32",2002-08-01,5914
"33",2002-09-01,5057
"34",2002-10-01,8068
"35",2002-11-01,9574
"36",2002-12-01,13298
"37",2003-01-01,1293
"38",2003-02-01,8726
"39",2003-03-01,12639
"40",2003-04-01,14259
"41",2003-05-01,14241
"42",2003-06-01,16940
"43",2003-07-01,953
"44",2003-08-01,18850
"45",2003-09-01,17196
"46",2003-10-01,20102
"47",2003-11-01,18526
"48",2003-12-01,20440
"49",2004-01-01,754
"50",2004-02-01,11137
"51",2004-03-01,24722
"52",2004-04-01,20646
"53",2004-05-01,20489
"54",2004-06-01,25490
"55",2004-07-01,3686
"56",2004-08-01,23938
"57",2004-09-01,23300
"58",2004-10-01,21315
"59",2004-11-01,21965
"60",2004-12-01,25790
"61",2005-01-01,760
"62",2005-02-01,11998
"63",2005-03-01,26251
"64",2005-04-01,22408
"65",2005-05-01,21814
"66",2005-06-01,29089
"67",2005-07-01,18033
"68",2005-08-01,26014
"69",2005-09-01,23623
"70",2005-10-01,22118
"71",2005-11-01,25293
"72",2005-12-01,25723
"73",2006-01-01,15794
"74",2006-02-01,12219
"75",2006-03-01,27052
"76",2006-04-01,25350
"77",2006-05-01,28483
"78",2006-06-01,28662
"79",2006-07-01,23002
"80",2006-08-01,34301
"81",2006-09-01,27000
"82",2006-10-01,28537
"83",2006-11-01,32323
"84",2006-12-01,31973
"85",2007-01-01,7171
"86",2007-02-01,21820
"87",2007-03-01,34138
"88",2007-04-01,29551
"89",2007-05-01,34852
"90",2007-06-01,30634
"91",2007-07-01,26801
"92",2007-08-01,36776
"93",2007-09-01,30171
"94",2007-10-01,34086
"95",2007-11-01,32273
"96",2007-12-01,29654
"97",2008-01-01,12780
"98",2008-02-01,20196
"99",2008-03-01,32816
"100",2008-04-01,34032
"101",2008-05-01,33247
"102",2008-06-01,35545
"103",2008-07-01,34177
"104",2008-08-01,45412
"105",2008-09-01,38270
"106",2008-10-01,45866
"107",2008-11-01,39761
"108",2008-12-01,33548
"109",2009-01-01,18204
"110",2009-02-01,17460
"111",2009-03-01,43022
"112",2009-04-01,43083
"113",2009-05-01,35652
"114",2009-06-01,41244
"115",2009-07-01,38571
"116",2009-08-01,42821
"117",2009-09-01,43666
"118",2009-10-01,40700
"119",2009-11-01,39835
"120",2009-12-01,32906
"121",2010-01-01,22982
"122",2010-02-01,20864
"123",2010-03-01,43883
"124",2010-04-01,38889
"125",2010-05-01,44821
"126",2010-06-01,37571
"127",2010-07-01,39317
"128",2010-08-01,40314
"129",2010-09-01,38927
"130",2010-10-01,38610
"131",2010-11-01,39392
"132",2010-12-01,34991
"133",2011-01-01,20010
"134",2011-02-01,27162
"135",2011-03-01,37795
"136",2011-04-01,36449
"137",2011-05-01,38173
"138",2011-06-01,42342
"139",2011-07-01,35974
"140",2011-08-01,44597
"141",2011-09-01,40687
"142",2011-10-01,37855
"143",2011-11-01,37043
"144",2011-12-01,34255
"145",2012-01-01,17173
"146",2012-02-01,24373
"147",2012-03-01,42825
"148",2012-04-01,37704
"149",2012-05-01,45831
"150",2012-06-01,40870
"151",2012-07-01,32243
"152",2012-08-01,45656
"153",2012-09-01,34618
"154",2012-10-01,43379
"155",2012-11-01,37585
"156",2012-12-01,32612
"157",2013-01-01,16343
"158",2013-02-01,21962
"159",2013-03-01,38792
"160",2013-04-01,39893
"161",2013-05-01,38117
"162",2013-06-01,39811
"163",2013-07-01,31737
"164",2013-08-01,41841
"165",2013-09-01,36519
"166",2013-10-01,43293
"167",2013-11-01,38288
"168",2013-12-01,31896
"169",2014-01-01,16136
"170",2014-02-01,22415
"171",2014-03-01,33838
"172",2014-04-01,36927
"173",2014-05-01,36900
"174",2014-06-01,26766
"175",2014-07-01,35550
"176",2014-08-01,40608
"177",2014-09-01,38130
"178",2014-10-01,42740
"179",2014-11-01,37506
"180",2014-12-01,37183
"181",2015-01-01,17096
"182",2015-02-01,29100
"183",2015-03-01,41133
"184",2015-04-01,39881
"185",2015-05-01,33891
"186",2015-06-01,36962
"187",2015-07-01,36145
"188",2015-08-01,38498
"189",2015-09-01,38599
"190",2015-10-01,21560
"191",2015-11-01,44918
"192",2015-12-01,31096
"193",2016-01-01,13455
"194",2016-02-01,23148
"195",2016-03-01,35486
"196",2016-04-01,29451
"197",2016-05-01,32326
"198",2016-06-01,43092
"199",2016-07-01,37561
"200",2016-08-01,42904
"201",2016-09-01,38194
"202",2016-10-01,38019
"203",2016-11-01,37958
"204",2016-12-01,31796
"205",2017-01-01,8626
"206",2017-02-01,27212
"207",2017-03-01,44352
"208",2017-04-01,32129
"209",2017-05-01,36362
"210",2017-06-01,33478
"211",2017-07-01,33534
"212",2017-08-01,41154
"213",2017-09-01,32806
"214",2017-10-01,37405
"215",2017-11-01,36977
"216",2017-12-01,28945
